;UAI;Position;IPS voie GT
0;0121428M;44.347, 2.578;116.8
1;0140004D;49.279, -0.712;122.9
2;0140052F;48.894, -0.195;113.5
3;0141165R;49.296, -0.373;129.1
4;0141418R;49.153, 0.229;100.1
5;0141555P;48.839, -0.898;107.4
6;0142059M;49.198, -0.366;129.8
7;0142133T;49.196, -0.357;118.8
8;0211068X;47.028, 4.840;123.5
9;0211074D;47.329, 5.016;137.2
10;0212023K;47.859, 4.575;97.2
11;0270044B;49.081, 1.477;113.0
12;0271053Y;49.086, 1.458;132.9
13;0271070S;49.016, 1.149;118.6
14;0350028R;48.085, -1.688;114.7
15;0500017X;49.630, -1.606;108.6
16;0500026G;49.045, -1.444;111.0
17;0500087Y;48.572, -1.099;106.2
18;0501219D;49.108, -1.089;105.2
19;0501828R;49.639, -1.629;115.4
20;0593106F;50.638, 3.027;131.0
21;0593136N;50.724, 2.530;123.7
22;0594278E;51.026, 2.372;114.7
23;0595809U;50.365, 3.514;100.9
24;0610001V;48.440, 0.081;115.0
25;0610002W;48.410, 0.092;105.3
26;0610021S;48.744, -0.553;97.9
27;0610698C;48.749, -0.565;116.1
28;0740003B;45.906, 6.128;130.7
29;0740104L;46.205, 6.250;123.5
30;0760023M;49.923, 1.064;110.4
31;0760030V;49.288, 1.002;109.9
32;0760062E;49.491, 0.139;108.7
33;0760096S;49.451, 1.122;118.2
34;0761341V;49.451, 1.093;113.4
35;0761719F;49.430, 1.080;111.7
36;0761742F;49.401, 1.041;100.0
37;0762879S;49.463, 1.045;99.7
38;0762911B;49.400, 1.164;121.5
39;0762920L;49.565, 0.457;102.1
40;0762964J;49.387, 1.066;100.5
41;0763112V;49.757, 0.389;115.7
42;0860028N;46.428, 0.875;110.8
43;0590064Z;50.375, 3.079;101.0
44;0590093F;50.599, 2.987;113.7
45;0592921E;50.694, 3.182;105.3
46;0592929N;50.122, 3.933;110.7
47;9760125G;-12.849, 45.139;68.1
48;9760270P;-12.714, 45.052;75.4
49;9760370Y;-12.769, 45.221;74.6
50;0110023R;43.190, 3.019;106.3
51;0300002P;44.130, 4.075;101.5
52;0300023M;43.835, 4.346;110.4
53;0300027S;43.825, 4.353;106.7
54;0300052U;43.990, 3.601;107.7
55;0300125Y;44.123, 4.081;117.6
56;0300950V;44.164, 4.612;110.7
57;0301654K;43.786, 4.310;97.9
58;0331590Z;44.825, -0.575;129.5
59;0340009A;43.343, 3.211;98.3
60;0340075X;43.401, 3.692;116.4
61;0340076Y;43.396, 3.667;104.9
62;0341523W;43.404, 3.693;125.7
63;0341921D;43.649, 3.920;132.1
64;0342091N;43.263, 3.285;107.8
65;0342175E;43.567, 4.074;121.8
66;0470065R;44.404, 0.715;114.2
67;0480680D;44.799, 3.274;110.6
68;0530011Z;48.072, -0.762;112.8
69;0640126P;43.189, -0.610;115.0
70;0660014G;42.697, 2.926;107.4
71;0753598D;48.841, 2.339;148.3
72;0860903P;46.580, 0.350;135.6
73;0020059D;49.386, 3.323;101.2
74;0070001N;45.248, 4.672;102.4
75;0070003R;44.620, 4.383;112.5
76;0070021K;44.730, 4.594;113.8
77;0070071P;45.064, 4.835;117.4
78;0071351F;44.538, 4.690;113.0
79;0090013R;43.086, 1.883;111.2
80;0090036R;43.118, 1.613;120.5
81;0110012D;43.317, 1.949;110.5
82;0120059Z;43.957, 2.889;108.8
83;0260006R;44.732, 5.015;122.9
84;0260015A;44.555, 4.745;111.9
85;0290034E;48.084, -4.326;114.5
86;0290171D;47.981, -4.096;121.7
87;0290174G;47.872, -3.561;118.8
88;0310040A;43.638, 1.463;118.0
89;0310041B;43.609, 1.440;139.7
90;0311126F;43.654, 1.387;142.9
91;0311134P;43.596, 1.421;140.3
92;0311323V;43.585, 1.398;101.2
93;0312093G;43.616, 1.308;128.6
94;0312289V;43.540, 1.549;139.6
95;0312995M;43.210, 1.077;117.4
96;0320051G;43.651, 0.578;126.4
97;0320054K;43.931, 0.627;127.8
98;0320067Z;43.631, 0.590;118.2
99;0350042F;48.641, -2.005;105.9
100;0351907H;48.088, -1.643;116.8
101;0352686E;48.033, -1.734;122.8
102;0380008C;45.591, 5.270;112.4
103;0380027Y;45.188, 5.725;139.4
104;0380029A;45.179, 5.711;121.3
105;0380032D;45.179, 5.731;93.1
106;0380033E;45.171, 5.709;120.1
107;0380034F;45.169, 5.707;99.3
108;0380083J;45.504, 4.855;114.8
109;0381803D;45.174, 5.733;130.7
110;0382270L;45.435, 6.016;131.8
111;0382863F;45.215, 5.783;144.0
112;0382920T;45.146, 5.717;105.1
113;0383119J;45.321, 5.586;122.6
114;0383208F;45.199, 5.752;138.8
115;0420031F;46.038, 4.070;111.8
116;0460010L;44.609, 2.027;112.6
117;0492123S;47.491, -0.550;108.2
118;0590125R;50.628, 3.093;113.1
119;0590149S;50.282, 3.980;91.9
120;0590182C;50.679, 3.168;89.2
121;0592833J;50.544, 3.026;99.1
122;0592916Z;50.277, 3.976;112.3
123;0592922F;50.631, 3.048;139.7
124;0595884A;50.273, 3.958;74.4
125;0597005U;50.644, 2.704;103.3
126;0620120U;50.555, 2.479;105.5
127;0620140R;50.465, 1.766;107.8
128;0624440P;50.473, 2.660;97.0
129;0640011P;43.483, -1.474;107.8
130;0650001Y;43.003, -0.094;116.7
131;0650025Z;43.234, 0.072;117.3
132;0730003G;45.666, 5.912;121.2
133;0730759D;45.693, 5.900;125.1
134;0740006E;45.938, 6.133;125.7
135;0740099F;45.885, 6.330;127.1
136;0740100G;46.378, 6.484;124.2
137;0741418P;45.896, 6.096;115.2
138;0741476C;46.182, 6.246;106.8
139;0810006S;43.930, 2.147;125.0
140;0810012Y;44.049, 2.141;105.6
141;0810095N;43.944, 2.148;108.5
142;0810103X;43.600, 2.244;111.2
143;0820004J;44.028, 1.138;101.5
144;0820016X;44.105, 1.092;101.4
145;0820883P;44.160, 1.553;102.3
146;0241125T;45.133, 1.280;105.8
147;0330010G;44.433, -0.214;106.9
148;0470028A;44.141, 0.334;108.4
149;9710002A;15.991, -61.727;103.2
150;0511140M;49.247, 4.036;138.2
151;0134252B;43.881, 4.868;114.3
152;0240032E;45.243, 0.334;100.6
153;0010069V;45.761, 5.685;115.8
154;0010072Y;46.264, 6.117;122.7
155;0011276G;45.945, 4.763;126.3
156;0011326L;45.847, 5.036;126.0
157;0011431A;46.179, 4.814;121.4
158;0020012C;49.052, 3.384;100.2
159;0020014E;49.614, 3.221;100.8
160;0020034B;49.561, 3.635;111.2
161;0020048S;49.850, 3.283;98.7
162;0021871Y;49.836, 3.906;112.6
163;0021873A;49.850, 3.286;120.5
164;0030026M;46.335, 2.578;105.5
165;0030038A;46.567, 3.357;102.8
166;0030044G;46.311, 3.293;105.5
167;0030072M;46.135, 3.458;121.8
168;0030445T;46.341, 2.608;112.1
169;0031044U;46.292, 2.734;95.4
170;0040003G;44.389, 6.652;110.2
171;0040010P;43.838, 5.781;112.6
172;0040533H;43.830, 5.798;115.6
173;0050004C;44.569, 6.496;112.3
174;0060009C;43.670, 7.151;121.2
175;0060029Z;43.706, 7.252;107.3
176;0060030A;43.699, 7.276;123.8
177;0060729K;43.707, 7.272;140.9
178;0061884R;43.722, 7.106;127.4
179;0062015H;43.643, 7.037;137.3
180;0062089N;43.765, 7.340;98.7
181;0062147B;43.718, 7.256;126.9
182;0062256V;43.710, 7.273;124.7
183;0080006N;49.773, 4.730;113.2
184;0080007P;49.771, 4.717;101.0
185;0080018B;50.133, 4.829;94.8
186;0100047X;48.297, 4.071;124.6
187;0101028N;48.292, 4.078;107.7
188;0130175V;43.261, 5.387;114.6
189;0131320P;43.530, 5.451;134.8
190;0131327X;43.344, 5.388;94.2
191;0131333D;43.285, 5.378;133.6
192;0131360H;43.641, 5.101;136.8
193;0131403E;43.287, 5.378;102.0
194;0132733A;43.340, 5.424;92.9
195;0133395V;43.532, 5.446;127.6
196;0134003F;43.298, 5.426;103.0
197;0134101M;43.347, 5.355;93.7
198;0134107U;43.335, 5.361;85.4
199;0150006A;44.936, 2.453;109.2
200;0150047V;44.932, 2.446;119.4
201;0150051Z;45.035, 3.087;108.0
202;0160004T;45.630, 0.158;114.1
203;0160020K;45.701, -0.318;110.2
204;0170028N;46.164, -1.154;126.4
205;0170051N;45.951, -0.526;105.9
206;0171428K;45.847, -1.157;108.4
207;0171455P;45.948, -0.959;115.7
208;0190012K;45.160, 1.518;95.0
209;0190038N;45.542, 2.315;106.9
210;0190083M;45.145, 1.532;110.7
211;0210015C;47.324, 5.048;126.3
212;0210047M;47.492, 4.338;107.8
213;0220013V;48.463, -2.036;115.0
214;0220057T;48.516, -2.753;117.6
215;0220094H;48.455, -2.045;125.3
216;0220099N;48.459, -2.514;111.3
217;0220106W;48.401, -2.916;111.3
218;0220111B;48.513, -2.766;124.5
219;0230025C;46.240, 1.485;115.7
220;0240013J;45.339, 1.047;107.9
221;0240025X;45.190, 0.724;108.0
222;0280007F;48.443, 1.493;126.7
223;0280021W;48.731, 1.378;104.6
224;0280036M;48.317, 0.811;111.5
225;0290022S;48.279, -3.552;106.0
226;0331503E;44.850, -0.606;135.8
227;0331506H;44.913, -0.246;116.7
228;0332192D;44.796, -0.593;119.1
229;0350024L;48.107, -1.673;136.0
230;0350776D;48.114, -1.664;138.7
231;0352235P;48.143, -1.963;117.0
232;0360019A;46.584, 1.977;105.6
233;0370731U;47.394, 0.691;140.2
234;0370737A;47.127, 0.994;146.0
235;0390012B;47.090, 5.493;116.0
236;0400007R;43.702, -1.056;112.9
237;0410017W;47.369, 1.740;103.4
238;0410030K;47.809, 1.056;112.3
239;0410675L;47.589, 1.330;127.7
240;0410693F;47.593, 1.331;123.5
241;0420027B;45.533, 4.604;109.5
242;0420042T;45.414, 4.389;100.8
243;0421022H;45.472, 4.523;119.1
244;0421023J;46.039, 4.071;125.7
245;0421035X;45.439, 4.385;125.4
246;0440030U;47.254, -1.573;125.5
247;0440062D;47.182, -1.561;122.7
248;0440151A;47.715, -1.377;113.0
249;0440161L;47.237, -1.558;142.2
250;0440172Y;47.244, -1.562;141.8
251;0440201E;46.994, -1.824;118.7
252;0440274J;47.188, -1.547;130.5
253;0440279P;47.206, -1.521;126.4
254;0441552Y;47.186, -1.517;119.8
255;0441992B;47.121, -2.087;116.4
256;0442207K;47.482, -1.763;116.1
257;0442765S;47.208, -1.533;123.9
258;0442774B;47.232, -1.560;131.3
259;0450050K;47.906, 1.913;111.3
260;0450106W;47.688, 2.625;114.9
261;0450110A;47.906, 1.900;136.7
262;0470060K;44.207, 0.619;121.2
263;0490819Z;47.465, -0.547;131.2
264;0492406Z;47.059, -0.878;121.0
265;0510031G;49.251, 4.046;114.2
266;0510032H;49.258, 4.046;125.8
267;0510035L;49.251, 4.028;91.4
268;0510068X;49.039, 3.965;107.1
269;0511135G;49.042, 3.957;115.3
270;0511142P;49.239, 4.025;127.7
271;0511146U;49.251, 4.037;119.7
272;0511901P;49.283, 4.024;96.6
273;0520019N;48.443, 5.139;95.0
274;0540034U;48.597, 6.508;109.1
275;0540039Z;48.693, 6.186;124.1
276;0540041B;48.691, 6.137;102.4
277;0541305A;49.250, 5.939;105.5
278;0541313J;48.688, 6.173;135.0
279;0542293Z;48.600, 6.493;112.4
280;0542448T;48.678, 6.181;123.7
281;0550002D;48.777, 5.157;105.8
282;0550049E;49.161, 5.381;116.9
283;0560016N;47.950, -2.139;108.6
284;0560026Z;47.746, -3.383;116.3
285;0560101F;47.744, -3.362;125.0
286;0560119A;47.704, -2.952;122.3
287;0560198L;47.654, -2.780;121.0
288;0560200N;47.667, -2.762;110.3
289;0561981Z;47.646, -2.778;127.7
290;0570058D;49.106, 6.168;123.2
291;0570098X;49.108, 7.064;108.3
292;0570214Y;49.111, 7.068;116.4
293;0572341K;49.098, 6.159;132.4
294;0580753D;46.983, 3.129;114.2
295;0590024F;50.299, 3.795;111.1
296;0590063Y;50.374, 3.086;117.4
297;0590117G;50.643, 3.070;117.1
298;0592926K;50.687, 2.876;128.6
299;0593117T;50.629, 3.041;128.1
300;0596281G;50.530, 3.210;128.4
301;0600001A;49.436, 2.090;112.3
302;0601149Y;49.203, 2.588;137.9
303;0601699W;49.419, 2.085;125.9
304;0601701Y;49.406, 2.832;132.8
305;0601823F;49.423, 2.084;103.4
306;0630001J;45.546, 3.746;105.9
307;0630020E;45.782, 3.086;99.3
308;0630069H;45.863, 3.530;110.2
309;0630077S;45.801, 3.110;91.1
310;0631861F;45.745, 3.212;120.3
311;0640044A;43.369, -0.625;108.6
312;0640111Y;43.478, -1.484;123.2
313;0640122K;43.158, -0.231;116.1
314;0641732K;43.320, -0.364;114.6
315;0641823J;43.462, -1.552;118.7
316;0670002N;48.409, 7.457;115.3
317;0670020H;48.814, 7.797;114.5
318;0670041F;48.535, 7.491;116.8
319;0670071N;48.263, 7.457;117.1
320;0670080Y;48.594, 7.757;119.3
321;0670087F;48.528, 7.732;111.0
322;0671602C;48.811, 7.790;120.3
323;0671618V;48.886, 7.790;123.1
324;0671636P;48.591, 7.751;123.7
325;0671639T;48.587, 7.772;121.9
326;0672198A;48.529, 7.725;121.4
327;0680015X;47.907, 7.204;114.1
328;0680060W;48.198, 7.316;118.7
329;0680066C;47.577, 7.556;109.0
330;0680134B;47.684, 7.387;133.6
331;0681768C;47.754, 7.325;86.7
332;0681817F;48.091, 7.297;107.0
333;0681839E;47.901, 7.229;111.8
334;0681888H;47.798, 7.236;99.9
335;0690026D;45.772, 4.857;134.4
336;0690028F;45.757, 4.821;133.0
337;0690031J;45.780, 4.822;133.4
338;0690032K;45.752, 4.831;105.0
339;0690037R;45.768, 4.830;119.0
340;0690038S;45.786, 4.796;103.5
341;0690536H;45.753, 4.840;131.4
342;0690540M;45.870, 4.842;143.9
343;0690550Y;45.760, 4.758;143.1
344;0690553B;45.989, 4.721;123.6
345;0690554C;45.759, 4.890;128.9
346;0690574Z;45.749, 4.858;132.3
347;0690642Y;45.738, 4.868;114.4
348;0693518Z;45.778, 4.743;133.1
349;0693587Z;45.728, 4.854;121.7
350;0693619J;45.777, 4.919;83.7
351;0693769X;45.768, 4.869;119.8
352;0700905D;47.633, 6.165;110.3
353;0711137A;46.474, 3.994;102.2
354;0720027N;48.349, 0.363;98.3
355;0720029R;48.010, 0.200;128.6
356;0720048L;47.839, -0.341;103.5
357;0750502N;48.852, 2.332;146.1
358;0750655E;48.848, 2.344;140.4
359;0750671X;48.881, 2.340;109.4
360;0750674A;48.879, 2.350;88.6
361;0750677D;48.837, 2.410;103.5
362;0750680G;48.848, 2.394;121.6
363;0750682J;48.833, 2.347;133.6
364;0750684L;48.824, 2.361;118.6
365;0750689S;48.841, 2.329;122.8
366;0750690T;48.826, 2.306;104.3
367;0750694X;48.843, 2.297;133.6
368;0750696Z;48.848, 2.293;97.3
369;0750699C;48.866, 2.279;133.5
370;0750703G;48.855, 2.272;129.9
371;0750710P;48.887, 2.328;138.7
372;0753231E;48.895, 2.366;120.5
373;0753815P;48.878, 2.384;145.8
374;0753824Z;48.852, 2.362;146.4
375;0753825A;48.876, 2.332;125.4
376;0753883N;48.871, 2.348;155.1
377;0753885R;48.879, 2.349;136.2
378;0753890W;48.864, 2.375;139.8
379;0753902J;48.833, 2.341;140.5
380;0753935V;48.842, 2.413;129.0
381;0753947H;48.854, 2.278;148.2
382;0754029X;48.845, 2.329;134.9
383;0754045P;48.834, 2.326;132.1
384;0754325U;48.886, 2.386;122.6
385;0755537L;48.899, 2.322;129.6
386;0770924L;48.825, 3.093;107.3
387;0770938B;48.394, 2.959;102.5
388;0770943G;48.509, 2.663;119.5
389;0771237B;48.873, 2.709;130.9
390;0771238C;48.542, 2.655;131.7
391;0771658J;49.020, 2.966;112.2
392;0771763Y;48.799, 2.648;107.3
393;0772127U;48.652, 2.562;117.7
394;0772243V;48.787, 2.599;113.1
395;0772244W;48.595, 2.578;114.1
396;0772276F;48.889, 2.613;105.6
397;0772324H;48.758, 2.697;131.3
398;0772602K;48.949, 3.127;126.8
399;0772685A;48.943, 3.132;103.4
400;0780422K;48.977, 1.922;102.7
401;0780582J;48.823, 1.959;117.7
402;0781860Y;48.914, 2.172;137.6
403;0781861Z;48.867, 2.099;146.7
404;0781948U;48.974, 1.775;103.1
405;0781950W;48.971, 2.074;106.9
406;0781952Y;48.830, 1.992;128.6
407;0782557F;48.900, 2.086;110.7
408;0782562L;48.806, 2.137;151.4
409;0782587N;48.814, 1.874;141.5
410;0783140P;48.805, 2.064;122.3
411;0783293F;48.817, 2.144;137.5
412;0783323N;48.898, 2.092;142.4
413;0783325R;48.805, 2.135;130.1
414;0783344L;48.982, 1.976;145.8
415;0783351U;48.793, 2.124;144.1
416;0790029C;46.643, -0.252;110.7
417;0790058J;46.979, -0.210;108.8
418;0790078F;46.328, -0.447;129.6
419;0800007Y;49.999, 2.658;103.3
420;0801743K;50.154, 2.340;114.6
421;0830015R;43.536, 6.471;105.4
422;0830059N;43.123, 5.953;100.8
423;0830099G;43.110, 5.953;131.7
424;0831407D;43.133, 6.018;113.7
425;0831440P;43.444, 6.754;105.1
426;0831444U;43.406, 6.068;123.1
427;0831563Y;43.098, 6.125;117.8
428;0831646N;43.476, 6.539;110.6
429;0840004Y;43.952, 4.812;103.2
430;0840017M;43.824, 5.038;106.8
431;0840078D;44.052, 5.046;121.6
432;0841093G;44.294, 4.750;100.3
433;0850130E;46.684, -1.422;118.0
434;0851346B;46.854, -1.870;105.3
435;0851642Y;46.690, -1.438;125.6
436;0860037Y;46.598, 0.330;115.8
437;0860774Z;46.585, 0.382;117.5
438;0861228T;46.551, 0.310;122.3
439;0870015U;45.831, 1.263;116.6
440;0870050G;45.504, 1.202;107.8
441;0880019T;48.175, 6.441;102.5
442;0880099E;48.289, 6.953;116.2
443;0880101G;48.169, 6.452;127.3
444;0890003V;47.800, 3.571;117.7
445;0890005X;47.791, 3.552;101.4
446;0061478Z;43.605, 7.072;119.5
447;0061987C;44.069, 7.168;118.3
448;0120022J;44.350, 2.560;118.6
449;0120061B;44.356, 2.039;110.0
450;0140061R;49.150, 0.224;111.4
451;0910620E;48.613, 2.459;102.0
452;0141157G;49.282, -0.706;113.8
453;0141172Y;49.371, 0.115;125.6
454;0141175B;49.193, -0.351;124.8
455;0141178E;49.201, -0.380;118.8
456;0910823A;48.701, 2.255;127.8
457;0911021R;48.693, 2.503;116.9
458;0911251R;48.626, 2.424;98.1
459;0911346U;48.640, 2.349;106.9
460;0170070J;46.109, -0.749;110.2
461;0170100S;46.165, -1.150;129.3
462;0171405K;46.143, -1.163;122.9
463;0270003G;49.085, 0.593;104.6
464;0270026G;49.286, 1.780;107.2
465;0270029K;49.209, 1.156;110.0
466;0911945V;48.710, 2.327;104.5
467;0911961M;48.586, 2.247;115.7
468;0912163G;48.628, 2.334;87.0
469;0920130S;48.750, 2.313;133.3
470;0920131T;48.922, 2.282;106.6
471;0920132U;48.911, 2.260;134.7
472;0271049U;49.352, 0.496;123.0
473;0271431J;49.351, 0.522;111.6
474;0920799U;48.867, 2.180;135.6
475;0920894X;48.793, 2.301;109.2
476;0920898B;48.843, 2.229;139.2
477;0920908M;48.808, 2.187;147.5
478;0271606Z;49.199, 0.713;131.4
479;0920916W;48.819, 2.227;148.2
480;0920917X;48.816, 2.240;144.9
481;0271634E;49.216, 1.176;99.5
482;0290160S;48.570, -4.325;117.7
483;0320036R;43.613, 1.085;125.3
484;0460529A;44.895, 1.471;115.0
485;0500016W;49.640, -1.644;113.0
486;0500065Z;49.115, -1.085;118.8
487;0500116E;49.060, -1.449;116.5
488;0500127S;49.113, -1.096;103.6
489;0501299R;49.640, -1.628;122.6
490;0922397F;48.819, 2.254;132.3
491;0922653J;48.826, 2.276;129.0
492;0930118Y;48.903, 2.473;86.3
493;0930120A;48.955, 2.321;82.5
494;0590185F;50.685, 3.172;72.2
495;0595885B;50.348, 3.108;101.8
496;0610026X;48.758, 0.638;100.8
497;0610700E;48.523, 0.544;117.7
498;0931026K;48.950, 2.490;122.3
499;0711249X;46.313, 4.825;122.9
500;0760029U;49.291, 1.016;103.6
501;0760054W;49.489, 0.105;87.4
502;0760056Y;49.497, 0.124;104.3
503;0931464L;48.891, 2.523;141.5
504;0931565W;48.844, 2.574;108.6
505;0931735F;48.961, 2.299;82.4
506;0932026X;48.903, 2.548;76.4
507;0932303Y;48.894, 2.525;138.5
508;0940117S;48.835, 2.483;135.0
509;0940118T;48.847, 2.491;117.5
510;0940119U;48.834, 2.509;126.8
511;0940121W;48.803, 2.472;133.4
512;0940124Z;48.847, 2.427;142.3
513;0940129E;48.802, 2.400;89.7
514;0940877T;48.848, 2.441;145.1
515;0940885B;48.763, 2.406;115.4
516;0762953X;49.862, 0.697;108.5
517;0762976X;49.493, 0.150;87.8
518;0941347D;48.856, 2.486;112.6
519;0941711Z;48.795, 2.445;127.6
520;0941719H;48.794, 2.385;127.3
521;0941930M;48.770, 2.471;88.9
522;0942130E;48.770, 2.517;109.6
523;0942354Y;48.795, 2.463;123.5
524;0950645K;48.983, 2.252;113.9
525;0950648N;48.990, 2.318;122.5
526;0950785M;48.974, 2.255;134.7
527;0592913W;50.449, 3.426;128.5
528;0592940A;50.369, 3.085;131.9
529;0951147F;49.116, 2.224;126.7
530;0951728M;49.039, 2.117;102.8
531;0951811C;48.952, 2.226;90.0
532;9760127J;-12.781, 45.227;78.2
533;9760363R;-12.909, 45.194;84.5
534;0952173W;48.922, 2.215;93.8
535;0952208J;48.960, 2.238;127.1
536;7200021K;42.305, 9.152;114.0
537;0111048E;43.182, 2.759;107.4
538;0300047N;44.014, 4.421;115.0
539;0300077W;44.133, 4.085;116.3
540;0300127A;43.834, 4.363;117.5
541;9711066G;16.209, -61.454;98.7
542;9720350Y;14.747, -60.949;99.0
543;9720615L;14.628, -61.058;115.5
544;9720823M;14.664, -61.156;105.2
545;9720888H;14.747, -61.174;106.1
546;9730108E;5.166, -52.646;91.3
547;0331499A;44.843, -0.582;128.2
548;0340011C;43.342, 3.235;95.8
549;0340030Y;43.671, 4.122;105.6
550;0340040J;43.612, 3.848;112.9
551;9730511T;4.915, -52.268;136.6
552;9740001H;-20.889, 55.469;100.3
553;9740002J;-21.275, 55.521;95.9
554;9740043D;-20.965, 55.654;89.2
555;9741050Y;-21.001, 55.281;104.6
556;9741087N;-21.250, 55.525;84.7
557;9741233X;-21.049, 55.710;77.1
558;9741556Y;-21.048, 55.226;129.3
559;0341794R;43.586, 3.931;123.6
560;9760229V;-12.798, 45.285;88.3
561;0341915X;43.646, 3.864;131.3
562;0342066L;43.711, 3.833;131.8
563;0342225J;43.605, 3.912;115.1
564;0401016M;43.694, -1.058;124.1
565;0480007X;44.521, 3.508;123.9
566;0480023P;44.555, 3.289;111.5
567;0640115C;43.485, -1.495;129.2
568;0641441U;43.502, -1.524;112.3
569;0660768B;42.718, 2.879;124.5
570;0660907C;42.646, 2.937;104.8
571;0753946G;48.847, 2.263;144.9
572;0754081D;48.886, 2.307;144.9
573;0021476U;49.371, 3.308;99.5
574;0021946E;49.252, 3.081;109.8
575;0090015T;43.115, 1.609;108.8
576;0090045A;43.108, 1.618;115.2
577;0260063C;45.216, 4.940;135.4
578;0260064D;44.550, 4.774;127.2
579;0261277X;44.956, 4.898;98.9
580;0290010D;48.394, -4.490;118.0
581;0290051Y;48.570, -3.821;112.3
582;0290070U;47.991, -4.119;100.7
583;0310032S;43.112, 0.746;109.7
584;0311146C;43.591, 1.470;137.7
585;0312744P;43.478, 1.388;125.7
586;0312822Z;43.469, 1.322;119.7
587;0312915A;43.400, 1.729;130.1
588;0320009L;43.962, 0.374;111.3
589;0320015T;43.931, 0.629;112.0
590;0320737C;43.398, 0.583;131.0
591;0330135T;44.802, -0.599;119.5
592;0380014J;45.390, 5.265;105.5
593;0380028Z;45.190, 5.730;132.1
594;0380053B;45.541, 5.670;113.6
595;0380063M;45.158, 5.318;114.4
596;0380091T;45.371, 5.590;125.6
597;0381683Y;45.367, 5.596;130.4
598;0382203N;45.173, 5.762;120.3
599;0382838D;45.752, 5.171;112.5
600;0383072H;45.565, 5.306;132.6
601;0460007H;44.450, 1.439;115.5
602;0470001W;44.201, 0.623;113.9
603;0560105K;47.932, -2.399;113.0
604;0590121L;50.617, 3.068;94.4
605;0590181B;50.681, 3.207;92.3
606;0590214M;50.726, 3.157;94.5
607;0590222W;50.359, 3.531;116.9
608;0592935V;50.720, 3.109;137.2
609;0592965C;50.721, 3.151;108.3
610;0592966D;50.721, 3.150;108.1
611;0593139S;50.723, 3.149;116.8
612;0596335R;50.386, 3.222;122.8
613;0620027T;50.403, 2.834;84.6
614;0620052V;50.720, 1.617;103.9
615;0620062F;50.957, 1.836;104.4
616;0620070P;50.491, 2.948;97.2
617;0622803K;50.739, 2.256;104.4
618;0623915U;50.488, 2.855;107.9
619;0623981R;50.634, 2.407;109.6
620;0624430D;50.288, 2.777;112.0
621;0650014M;43.090, -0.049;113.9
622;0650026A;43.223, 0.074;109.2
623;0650065T;43.237, 0.068;115.2
624;0693654X;45.690, 4.785;128.5
625;0730029K;45.482, 6.529;116.9
626;0730037U;45.273, 6.350;110.8
627;0731248K;45.595, 5.920;119.7
